group,rtt_ms,trial,seconds,read_bytes,written_bytes
X25519MLKEM768,50,13,0.17,1837,1463
X25519MLKEM768,50,14,0.18,1838,1463
X25519MLKEM768,50,15,0.17,1837,1463
X25519MLKEM768,50,16,0.17,1837,1463
X25519MLKEM768,50,17,0.17,1836,1463
X25519MLKEM768,50,18,0.17,1837,1463
X25519MLKEM768,50,19,0.17,1836,1463
X25519MLKEM768,50,20,0.18,1837,1463
mlkem512,50,1,0.17,1486,1047
mlkem512,50,2,0.17,1486,1047
mlkem512,50,3,0.17,1485,1047
mlkem512,50,4,0.17,1485,1047
mlkem512,50,5,0.17,1485,1047
mlkem512,50,6,0.17,1485,1047
mlkem512,50,7,0.17,1485,1047
mlkem512,50,8,0.17,1485,1047
mlkem512,50,9,0.17,1485,1047
mlkem512,50,10,0.17,1485,1047
mlkem512,50,11,0.17,1484,1047
mlkem512,50,12,0.16,1484,1047
mlkem512,50,13,0.17,1485,1047
mlkem512,50,14,0.17,1484,1047
mlkem512,50,15,0.17,1485,1047
mlkem512,50,16,0.17,1485,1047
mlkem512,50,17,0.17,1486,1047
mlkem512,50,18,0.17,1485,1047
mlkem512,50,19,0.17,1485,1047
mlkem512,50,20,0.17,1484,1047
mlkem768,50,1,0.16,1806,1431
mlkem768,50,2,0.16,1805,1431
mlkem768,50,3,0.17,1805,1431
mlkem768,50,4,0.17,1805,1431
mlkem768,50,5,0.17,1806,1431
mlkem768,50,6,0.17,1805,1431
mlkem768,50,7,0.17,1805,1431
mlkem768,50,8,0.17,1804,1431
mlkem768,50,9,0.17,1806,1431
mlkem768,50,10,0.17,1806,1431
mlkem768,50,11,0.17,1806,1431
mlkem768,50,12,0.17,1804,1431
mlkem768,50,13,0.17,1806,1431
mlkem768,50,14,0.17,1805,1431
mlkem768,50,15,0.17,1805,1431
mlkem768,50,16,0.17,1804,1431
mlkem768,50,17,0.17,1804,1431
mlkem768,50,18,0.17,1804,1431
mlkem768,50,19,0.17,1805,1431
mlkem768,50,20,0.17,1806,1431
mlkem1024,50,1,0.17,2286,1815
mlkem1024,50,2,0.17,2285,1815
mlkem1024,50,3,0.17,2285,1815
mlkem1024,50,4,0.17,2284,1815
mlkem1024,50,5,0.17,2285,1815
mlkem1024,50,6,0.17,2286,1815
mlkem1024,50,7,0.17,2285,1815
mlkem1024,50,8,0.17,2286,1815
mlkem1024,50,9,0.17,2286,1815
mlkem1024,50,10,0.17,2284,1815
mlkem1024,50,11,0.17,2286,1815
mlkem1024,50,12,0.17,2284,1815
mlkem1024,50,13,0.17,2284,1815
mlkem1024,50,14,0.17,2285,1815
mlkem1024,50,15,0.17,2286,1815
mlkem1024,50,16,0.17,2285,1815
mlkem1024,50,17,0.17,2284,1815
mlkem1024,50,18,0.17,2285,1815
mlkem1024,50,19,0.17,2285,1815
mlkem1024,50,20,0.17,2285,1815
hqc128,50,1,0.23,5151,2496
hqc128,50,2,0.23,5151,2496
hqc128,50,3,0.23,5150,2496
hqc128,50,4,0.23,5151,2496
hqc128,50,5,0.23,5151,2496
hqc128,50,6,0.23,5151,2496
hqc128,50,7,0.23,5150,2496
hqc128,50,8,0.23,5151,2496
hqc128,50,9,0.22,5151,2496
hqc128,50,10,0.22,5150,2496
hqc128,50,11,0.22,5150,2496
hqc128,50,12,0.23,5151,2496
hqc128,50,13,0.22,5149,2496
hqc128,50,14,0.22,5150,2496
hqc128,50,15,0.23,5150,2496
hqc128,50,16,0.23,5150,2496
hqc128,50,17,0.23,5149,2496
hqc128,50,18,0.23,5150,2496
hqc128,50,19,0.22,5150,2496
hqc128,50,20,0.22,5151,2496
hqc192,50,1,0.30,9696,4769
hqc192,50,2,0.30,9696,4769
hqc192,50,3,0.30,9695,4769
hqc192,50,4,0.30,9696,4769
hqc192,50,5,0.29,9696,4769
hqc192,50,6,0.31,9694,4769
hqc192,50,7,0.30,9695,4769
hqc192,50,8,0.28,9694,4769
hqc192,50,9,0.30,9695,4769
hqc192,50,10,0.30,9694,4769
hqc192,50,11,0.31,9695,4769
hqc192,50,12,0.31,9695,4769
hqc192,50,13,0.30,9695,4769
hqc192,50,14,0.34,9695,4769
hqc192,50,15,0.31,9695,4769
hqc192,50,16,0.31,9695,4769
hqc192,50,17,0.31,9695,4769
hqc192,50,18,0.31,9694,4769
hqc192,50,19,0.30,9695,4769
hqc192,50,20,0.30,9695,4769
hqc256,50,1,0.46,15138,7492
hqc256,50,2,0.45,15139,7492
hqc256,50,3,0.45,15137,7492
hqc256,50,4,0.45,15136,7492
hqc256,50,5,0.45,15137,7492
hqc256,50,6,0.45,15138,7492
hqc256,50,7,0.44,15138,7492
hqc256,50,8,0.45,15137,7492
hqc256,50,9,0.46,15138,7492
hqc256,50,10,0.45,15138,7492
hqc256,50,11,0.45,15138,7492
hqc256,50,12,0.44,15137,7492
hqc256,50,13,0.44,15138,7492
hqc256,50,14,0.44,15138,7492
hqc256,50,15,0.46,15139,7492
hqc256,50,16,0.44,15138,7492
hqc256,50,17,0.45,15137,7492
hqc256,50,18,0.45,15137,7492
hqc256,50,19,0.45,15138,7492
hqc256,50,20,0.46,15138,7492
x25519,100,1,0.32,750,287
x25519,100,2,0.32,749,287
x25519,100,3,0.32,749,287
x25519,100,4,0.32,750,287
x25519,100,5,0.32,749,287
x25519,100,6,0.32,750,287
x25519,100,7,0.32,750,287
x25519,100,8,0.32,750,287
x25519,100,9,0.32,749,287
x25519,100,10,0.32,749,287
x25519,100,11,0.32,748,287
x25519,100,12,0.32,749,287
x25519,100,13,0.32,748,287
x25519,100,14,0.32,749,287
x25519,100,15,0.32,750,287
x25519,100,16,0.32,750,287
x25519,100,17,0.32,750,287
x25519,100,18,0.32,749,287
x25519,100,19,0.32,750,287
x25519,100,20,0.32,748,287
X25519MLKEM768,100,1,0.33,1837,1463
X25519MLKEM768,100,2,0.32,1838,1463
X25519MLKEM768,100,3,0.32,1837,1463
X25519MLKEM768,100,4,0.32,1837,1463
X25519MLKEM768,100,5,0.32,1838,1463
X25519MLKEM768,100,6,0.32,1838,1463
X25519MLKEM768,100,7,0.31,1837,1463
X25519MLKEM768,100,8,0.31,1837,1463
X25519MLKEM768,100,9,0.31,1836,1463
X25519MLKEM768,100,10,0.32,1837,1463
X25519MLKEM768,100,11,0.32,1836,1463
X25519MLKEM768,100,12,0.32,1836,1463
X25519MLKEM768,100,13,0.32,1837,1463
X25519MLKEM768,100,14,0.32,1837,1463
X25519MLKEM768,100,15,0.33,1838,1463
X25519MLKEM768,100,16,0.33,1836,1463
X25519MLKEM768,100,17,0.32,1837,1463
X25519MLKEM768,100,18,0.32,1836,1463
X25519MLKEM768,100,19,0.33,1837,1463
X25519MLKEM768,100,20,0.32,1837,1463
mlkem512,100,1,0.32,1486,1047
mlkem512,100,2,0.32,1484,1047
mlkem512,100,3,0.32,1485,1047
mlkem512,100,4,0.32,1484,1047
mlkem512,100,5,0.32,1484,1047
mlkem512,100,6,0.31,1484,1047
